答案,題目,選項A,選項B,選項C,選項D,
2,要開發NFC相關的應用程式時，需要在AndroidManifest.xml設定檔中加入下列哪一項權限設定？,"<uses-permission android:name=""android.permission.RAED_NFC""/>","<uses-permission android:name=""android.permission.NFC""/>","<uses-permission android:name=""android.permission. ACCESS_NFC""/>",不需加入任何權限設定,
12,下列哪些Sensor的類型（Type）在Android 6.0後已不建議被使用（deprecated）？,Sensor.TYPE_TEMPERATURE,Sensor.TYPE_ORIENTATION,Sensor.TYPE_GYROSCOPE,Sensor.TYPE_ACCELEROMETER,
1,系統內建的撥電話程式屬於Android框架的哪一層？,Application層,Application Framework層 ,Libraries層,Kernel & Driver層,
24,關於TDD（Test-Driven-Development）的敘述，下列哪些正確？,TDD為一種單元測試框架,是一種先建立test case，再一步步進行程式撰寫、重構的開發方式,是一種先寫出完整程式碼再進行測試的方法,TDD的規格本身就是可執行文件,
2,Android Studio在下列哪一個版本中加入Instant Run功能？,Android Studio 1,Android Studio 2,Android Studio 3,Android Studio 4,
2,RecyclerView元件使用下列哪一個方法，來取得被點擊項目View的位置？,getItemViewType(),getAdapterPosition(),getItemPosition(),getViewPosition(),
1234,Activity的生命週期中，包括下列哪些方法？,onStart,onDestroy,onStop,onCreate,
1,CardView是下列哪一個Layout的子類別？,FrameLayout,LinearLayout,RelativeLayout,TableLayout,
2,當程式內需要存取特殊資源時，必須在清單檔案內（AndroidManifest.xml）宣告；若需要存取網際網路的資源（如：Web Service），請問下列哪一項必須加入清單檔內？,"<permission android:name = ""android.permission.INTERNET"" />","<uses-permission android:name = ""android.permission.INTERNET"" />","<permission android:name = ""android.permission.NETWORK"" />","<uses-permission android:name = ""android.permission.NETWORK"" />",
12,活動（Activity）會因為組態的改變（如：由橫放變成直立），而被摧毀且再重新啟動。通常會藉由覆寫下列哪些方法，將重要資料在活動被摧毀前利用Bundle記錄，並在重新啟動後將資料從Bundle取回？,Activity.onSaveInstnaceState(...),Activity.onRestoreInstnaceState(...),Activity.onStop(...),Activity.onPause(...),
4,下列哪一項不是Context.openFileOutput()方法所支援的讀寫模式？,Context.MODE_PRIVATE,Context.MODE_APPEND,Context.MODE_WORLD_WRITEABLE,Context.MODE_PROTECTED,
4,新啟動一個Activity時，會最先呼叫下列哪一項方法？,onStart,onOpen,onStartCommand,onCreate,
3,在Activity裡配置SurfaceView，並利用SurfaceView播放影片，需要使Activity實作下列哪一項介面？,SurfaceHolder,SurfaceView,SurfaceHolder.Callback,SurfaceView.Callback,
12,使用Doze模式雖然可減少電池的電量消耗，但有可能會影響推播機制的功能，可用下列哪些方法來解決？,增加應用程式到電池最佳化的白名單列表（Whitelist）中,使用ACTION_IGNORE_BATTERY_OPTIMIZATION_SETTINGS和REQUEST_IGNORE_BATTERY_OPTIMIZATIONS設定忽略電池最佳化,使用其它廠商的推播機制,無方法可解決,
2,下列哪一項為用來階層化設定項目，點選後會跳至下一個設定畫面的元件？,PreferenceCategory,PreferenceScreen,RingtonePreference,ListPreference,
12,Android API level27引進了一個新的SharedMemory類別，主要是用來加強多個執行緒（Thread）或應用程式溝通之用，他提供開發者可以對匿名共用記憶體進行下列哪些操作？,創建,映射,編輯,搬移,
1234,關於Android下的資料庫存取API，下列敘述哪些錯誤？,不能使用transaction,不支援in memory database,不支援pre-compiled statement,透過API存取資料庫只能新增資料，不能刪除,
2,Paint物件可以在Canvas上繪製圖形，假設目前程式中有一個Canvas物件名稱為canvas，一個Paint物件名稱為paint，請問要如何在Canvas上畫一個圓形，其圓心座標為x:40、y:40，直徑為50？,"canvas.drawCircle(40,40,50,paint);","canvas.drawCircle(40,40,25,paint);","canvas.drawRect(40,40,50,paint);","canvas.drawOval(40,40,25,paint);",
3,要使用指紋辨識來驗證使用者的身分時，需要在AndroidManifest.xml設定檔中加入下列哪一項權限設定？,^[GD90601],^[GD90602],^[GD90603],^[GD90604],
3,在Android應用程式中要實作錄音的功能，除了在AndroidManifest.xml設定檔加入android.permission.WRITE_EXTERNAL_STORAGE的權限外，還需加入下列哪一項權限設定？,"<uses-permission android:name=""android.permission.MODIFY_AUDIO_SETTINGS""/>","<uses-permission android:name=""android.permission.REORDER_TASKS""/>","<uses-permission android:name=""android.permission.RECORD_AUDIO""/>",不需加入任何權限設定,
4,關於Android下SQLite的工具，下列敘述哪一項錯誤？,.tables顯示Table一覽,.scheme顯示Table定義,以SELECT取得資料,view tables顯示Table一覽,
4,在程式中若直接呼叫finish函式來關閉Activity，下列哪一項是正確的生命週期順序？,onCreate → onStart → onResume,onStop → onResume → onCreate,onResume → onStart → onOpen,onPause → onStop → onDestroy,
4,利用數位簽章（金鑰）進行簽章過的APK檔案（Singed APK）方能上傳到Google Play。當我們設定數位簽章參數時需要輸入兩種密碼：金鑰檔案庫密碼以及金鑰密碼；而這些參數在設定後會儲存在模組內的組態設定檔（build.gradle）。請問下列哪一個參數代表「金鑰檔案庫密碼」？,keyAlias,keyPassword,storeFile,storePassword,
1,Android系統未內建支援下列哪一項聲音檔案格式？,.rm,.mp3,.aac,.mid,
1,下列哪一項會出現在Android應用程式上方標題列、桌面圖示下方的名稱？,Application name,Company Domain,Package name,Project location,
4,關於RelativeLayout版面配置元件的敘述，下列哪一項錯誤？,RelativeLayout元件中，可以包含多層版面,一個畫面中可以包含多個RelativeLayout元件,在一個RelativeLayout元件中，可以同時定義直向與橫向顯示內容元件,在RelativeLayout元件中，可以透過android:orientation屬性定義內容元件排列方向,
3,若要將Android範例程式匯入至Android Studio，需點選啟動畫面中的哪一個項目？,Start a new Android Studio project,Open an existing Android Studio project,Import an Android code sample,"Import project(Eclipse ADT, Gradle, etc)",
2,系統內建的TelephonyManager屬於Android框架的哪一層？,Application層,Application Framework層,Libraries層,Kernel & Driver層,
123,利用Gradle設定組態定義檔時，可以指定相關性（Dependencies）的程式庫或模組。請問目前支援下列哪些相關性設定方式？,File Dependencies,Library Dependencies,Module Dependencies,Directory Dependencies,
4,下列哪一個專案檔案內，儲存了Android SDK開發工具的路徑資訊？,專案的build.gradle,模組內的build.gradle,專案的settings.gradle,專案的local.properties,
23,若要維持main.xml作為介面設計，且程式內採「R.layout.main」方式讀取，撰寫一個橫式與直式顯示介面不同的應用程式，可以在專案res目錄中加入下列哪些目錄來達成？,values-land目錄,layout-land目錄,layout目錄,values-port目錄,
1,當新增了一個提供使用者登入的新活動（Activity），組態檔AndroidManifest.xml必須加入該活動的宣告標籤<activity>；若新活動的類別名稱為LoginActivity，請問必須利用下列activity的哪一個屬性來指定此活動的類別名稱？,"android:name = ""LoginActivity""","android:label = ""LoginActivity""","android:class = ""LoginActivity""","android:activity = ""LoginActivity""",
1,下列哪一項是MediaPlayer類別的功能？,播放音樂,預覽圖片,顯示網頁,撥打電話,
1,下列哪一個語法可以得知外部儲存（External Storage）的狀態？,Environment.getExternalStorageState(),Environment.getExternalStorageDirectory(),Environment.getExternalStoragePublicDirectory(),Environment.getExternalStorage(),
123,關於AndroidManifest.xml檔案的功用，下列哪些正確？,註冊該程式所要提供的功能,列出該程式所需要的權限,指定使用到的函式庫,指定使用到的資源檔案路徑,
1,下列哪一項是Activity類別的作用？,顯示可見的使用者介面,提供可呼叫的資料,提供網路連線,提供不影響正常使用流程的訊息提示,
34,在應用程式中建立SensorEventListener物件，下列哪些方法一定要被覆寫（override）？,onLocationChanged(),onSensorDisabled(),onAccuracyChanged(),onSensorChanged(),
2,如附圖所示之程式碼，是有關APP Links的intent-filter設定，缺少了下列哪一項必要的屬性？,"<category android:name=""android.intent.category.DEFAULT"" />","<category android:name=""android.intent.category.BROWSABLE"" />","<data android:scheme=""https"" android:host=""www.abc.com"" />","<action android:name=""android.intent.action.VIEW"" />",
4,在Activity運作中接到一通來電，Activity會最先呼叫下列哪一項方法？,onCall,onStop,onStopCommand,onPause,
13,關於Notification訊息的敘述，下列哪些正確？,提供了一個不影響正常操作的訊息提示方式,使用者需中斷目前工作先處理Notification訊息,Notification訊息欄控制音樂播放,Notification訊息欄中的訊息僅能閱讀，無法進行App啟動或刪除通知,
1,LocationListener可以協助我們在Google Map應用程式中，即時追蹤GPS座標狀態，其中下列哪一項方法可以即時捕捉座標改變的事件？,onLocationChanged(Location location),"onStatusChanged(String provider, int status, Bundle extras)",onProviderEnabled(String provider),onProviderDisabled(String provider),
1,當程式使用了Fragment進行功能開發，為了讓該程式可以在Android 1.6至Android 5.1之間的手機都能夠正常執行，需要引用下列哪一個程式庫？,v4 support library,v7 cardview library,v7 gridlayout library,v14 preference support library,
123,關於Context的SQLite相關API之敘述，下列哪些正確？,可以在繼承Context的類別中使用openOrCreateDatabase開啟資料庫,如果使用openOrCreateDatabase時，指定的資料庫不存在，則會丟出錯誤,Context有deleteDatabase方法來刪除Database,可以使用openOrCreateDatabase來取得其他應用程式的private Database,
123,在Wear OS製作訊息顯示服務時，預設情況下，訊息通知會從配對的手機上的應用程式橋接（共享）至手錶，有可能會造成重覆訊息的建立，下列哪些設定可以處理此問題？,在AndroidManifest.xml中指定橋接模式（Bridging mode）設定,在程式執行過程中指定橋接模式（Bridging mode）設定,設定dismissal ID，關閉通知同步到所有設備,無法解決此問題,
4,下列哪一個Android專案檔案，可以用來讓使用者加入自行定義的樣式設定？,res/values/dimens.xml,res/values/color.xml,res/values/strings.xml,res/values/styles.xml,
4,下列哪一項不是預設的Preference元件？,CheckBoxPreference,RingtonePreference,ListPreference,SelectionPreference,
123,如果要在Android TV應用程式中建置媒體目錄瀏覽介面，建議增加下列哪些函式庫（library）？,v17 leanback library,v7 recyclerview library,v7 cardview library,v7 mediarouter library,
1234,下列哪些選項為開發NFC應用程式時，可支援的BroadcastReceiver廣播訊息事件？,NfcAdapter.ACTION_TECH_DISCOVERED,NfcAdapter.ACTION_ADAPTER_STATE_CHANGED,NfcAdapter.ACTION_NDEF_DISCOVERED,NfcAdapter.ACTION_TAG_DISCOVERED,
4,寫一支新增聯絡人的程式時，在AndroidManifest.xml需加入下列哪一項權限？,android.permission.WRITE_CALENDAR,android.permission.WRITE_OWNER_DATA,android.permission.READ_CONTACTS,android.permission.WRITE_CONTACTS,
1,如果要在指定的按鈕或是Menu Item被按下時啟動Search，該使用下列哪一項API？,Activity#onSearchRequested,Activity#createSearch,Activity#makeNewSearch,無法讓按鈕或Menu Item按下後便啟動Search,
12,"某一應用程式在使用Context#openFileOutput(""test.txt"",MODE_PRIVATE)並正確寫入資料後，下列哪些方式可正確讀取檔案？","透過Context#openFileInput(""test.txt"")","透過new FileReader(""/data/data/"" + this.getPackageName() + ""/files/data.txt"")","透過new FileReader(""test.txt"")","透過new File(""test.txt"")",
3,關於Android中提供的SQLite資料庫相關API之敘述，下列哪一項錯誤？,SQLiteOpenHelper用來輔助建立或變更資料庫,SQLiteDatabase提供新增資料，刪除資料和執行SQL命令…等方法,CursorValues儲存一組資料用來更新或刪除資料使用,SQLiteCursor為實作Cursor用來取出查詢結果使用,
2,PhoneStateListener為取得電話的通話狀態，下列敘述哪一項錯誤？,配合android.permission.READ_PHONE_STATE權限存取通話狀態,在PhoneStateListener裡覆寫onDataActivity()方法取得通話狀態,若對方有設定來電顯示號碼，透過PhoneStateListener可取得來電的電話號碼,TelephonyManager.CALL_STATE_IDLE為處理待機狀態的事件,
